boxscore_index,date,datetime,day,extra_points_attempted,extra_points_made,field_goals_attempted,field_goals_made,fourth_down_attempts,fourth_down_conversions,interceptions,location,opponent_abbr,opponent_name,overtime,pass_attempts,pass_completion_rate,pass_completions,pass_touchdowns,pass_yards,pass_yards_per_attempt,points_allowed,points_scored,punt_yards,punts,quarterback_rating,result,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,third_down_attempts,third_down_conversions,time_of_possession,times_sacked,type,week,yards_lost_from_sacks
201809090car,September 9,2018-09-09,Sun,0,0,1,0,1,0,0,Away,CAR,Carolina Panthers,False,29,65.5,19,0,138,5.9,16,8,293,6,76.5,Loss,22,1,94,4.3,11,2,29:24,6,Reg,1,32
201809160dal,September 16,2018-09-16,Sun,2,2,2,2,1,1,0,Home,NYG,New York Giants,False,25,64.0,16,1,160,6.4,13,20,173,4,95.4,Win,25,1,138,5.5,10,3,27:48,0,Reg,2,0
201809230sea,September 23,2018-09-23,Sun,1,1,2,2,2,1,2,Away,SEA,Seattle Seahawks,False,34,55.9,19,1,137,4.9,24,13,240,5,50.7,Loss,19,0,166,8.7,13,3,27:16,5,Reg,3,31
201809300dal,September 30,2018-09-30,Sun,2,2,4,4,1,1,0,Home,DET,Detroit Lions,False,27,63.0,17,2,231,9.4,24,26,78,2,114.9,Win,35,0,183,5.2,12,5,30:05,3,Reg,4,24
201810070htx,October 7,2018-10-07,Sun,1,1,3,3,1,1,2,Away,HTX,Houston Texans,True,29,62.1,18,1,194,7.2,19,16,220,5,64.4,Loss,29,0,98,3.4,14,4,31:32,2,Reg,5,14
201810140dal,October 14,2018-10-14,Sun,4,4,4,4,2,2,0,Home,JAX,Jacksonville Jaguars,False,27,63.0,17,2,172,6.8,7,40,123,3,105.8,Win,42,2,206,4.9,17,7,38:50,3,Reg,6,11
201810210was,October 21,2018-10-21,Sun,2,2,2,1,2,1,0,Away,WAS,Washington Redskins,False,35,62.9,22,1,250,7.8,20,17,208,5,93.7,Loss,22,1,73,3.3,14,5,29:05,4,Reg,7,23
201811050dal,November 5,2018-11-05,Mon,2,2,1,0,1,0,1,Home,OTI,Tennessee Titans,False,32,65.6,21,2,225,7.6,28,14,134,3,93.9,Loss,19,0,72,3.8,11,5,25:34,5,Reg,9,18
201811110phi,November 11,2018-11-11,Sun,3,3,3,2,1,1,0,Away,PHI,Philadelphia Eagles,False,36,72.2,26,1,239,7.5,20,27,163,4,99.2,Win,28,2,171,6.1,16,8,33:22,4,Reg,10,31
201811180atl,November 18,2018-11-18,Sun,2,1,3,3,0,0,0,Away,ATL,Atlanta Falcons,False,32,68.8,22,0,191,6.5,19,22,133,3,84.2,Win,29,2,132,4.6,13,7,31:57,2,Reg,11,17
201811220dal,November 22,2018-11-22,Thu,4,4,1,1,1,0,0,Home,WAS,Washington Redskins,False,31,71.0,22,2,258,9.3,23,31,287,6,117.4,Win,34,2,146,4.3,14,6,33:23,4,Reg,12,31
201811290dal,November 29,2018-11-29,Thu,1,1,2,2,0,0,0,Home,NOR,New Orleans Saints,False,28,85.7,24,1,209,8.9,10,13,153,3,109.7,Win,31,0,99,3.2,14,7,36:53,7,Reg,13,40
201812090dal,December 9,2018-12-09,Sun,2,2,4,3,1,1,2,Home,PHI,Philadelphia Eagles,True,54,77.8,42,3,434,8.4,23,29,102,2,103.2,Win,36,0,142,3.9,18,9,45:33,3,Reg,14,21
201812160clt,December 16,2018-12-16,Sun,0,0,1,0,5,1,1,Away,CLT,Indianapolis Colts,False,39,61.5,24,0,180,5.3,23,0,81,2,61.9,Loss,22,0,112,5.1,12,4,28:12,3,Reg,15,26
201812230dal,December 23,2018-12-23,Sun,3,3,2,2,0,0,0,Home,TAM,Tampa Bay Buccaneers,False,25,80.0,20,1,152,6.4,20,27,166,4,105.3,Win,24,1,80,3.3,9,3,24:41,1,Reg,16,9
201812300nyg,December 30,2018-12-30,Sun,4,4,1,0,2,2,0,Away,NYG,New York Giants,False,44,61.4,27,4,368,8.8,35,36,116,3,118.4,Win,22,1,51,2.3,17,11,30:52,4,Reg,17,19
201901050dal,January 5,2019-01-05,Sat,3,3,2,1,0,0,1,Home,SEA,Seattle Seahawks,False,33,66.7,22,1,216,6.8,22,24,225,5,82.4,Win,34,2,164,4.8,11,4,34:50,1,Post,18,10
201901120ram,January 12,2019-01-12,Sat,2,2,0,0,4,3,0,Away,RAM,Los Angeles Rams,False,32,62.5,20,1,258,8.3,30,22,165,4,98.2,Loss,22,2,50,2.3,10,1,23:47,1,Post,19,8
