attendance,boxscore_index,date,datetime,game_number_for_day,day_or_night,game,game_duration,games_behind,innings,location,loser,opponent_abbr,rank,record,result,runs_allowed,runs_scored,save,streak,winner
44189,NYN/NYN201803290,"Thursday, Mar 29",2018-03-29,1,Day,1,3:01,0.0,9,Home,Martinez,STL,1,1-0,Win,4,9,,+,Syndergaard
36098,NYN/NYN201803310,"Saturday, Mar 31",2018-03-31,1,Day,2,3:22,0.0,9,Home,Wacha,STL,1,2-0,Win,2,6,Familia,++,deGrom
22486,NYN/NYN201804010,"Sunday, Apr 1",2018-04-01,1,Day,3,3:15,1.0,9,Home,Matz,STL,2,2-1,Loss,5,1,,-,Weaver
21397,NYN/NYN201804030,"Tuesday, Apr 3",2018-04-03,1,Night,4,2:51,0.5,9,Home,Lively,PHI,2,3-1,Win,0,2,Familia,+,Blevins
21328,NYN/NYN201804040,"Wednesday, Apr 4",2018-04-04,1,Day,5,3:05,-0.5,9,Home,Hutchison,PHI,1,4-1,Win,2,4,Familia,++,Gsellman
42477,WAS/WAS201804050,"Thursday, Apr 5",2018-04-05,1,Day,6,2:57,-1.0,9,Away,Strasburg,WSN,1,5-1,Win,2,8,,+++,deGrom
28952,WAS/WAS201804070,"Saturday, Apr 7",2018-04-07,1,Day,7,2:59,-1.5,9,Away,Kintzler,WSN,1,6-1,Win,2,3,Familia,++++,Robles
21579,WAS/WAS201804080,"Sunday, Apr 8",2018-04-08,1,Night,8,4:03,-1.5,12,Away,Kintzler,WSN,1,7-1,Win,5,6,Rhame,+++++,Lugo
7003,MIA/MIA201804090,"Monday, Apr 9",2018-04-09,1,Night,9,3:10,-2.5,9,Away,Urena,MIA,1,8-1,Win,2,4,Familia,++++++,Syndergaard
6516,MIA/MIA201804100,"Tuesday, Apr 10",2018-04-10,1,Night,10,2:59,-3.5,9,Away,Ziegler,MIA,1,9-1,Win,6,8,Familia,+++++++,Robles
6150,MIA/MIA201804110,"Wednesday, Apr 11",2018-04-11,1,Night,11,2:27,-3.5,9,Away,O'Grady,MIA,1,10-1,Win,1,4,,++++++++,Wheeler
34921,NYN/NYN201804130,"Friday, Apr 13",2018-04-13,1,Night,12,3:10,-3.5,9,Home,Davies,MIL,1,11-1,Win,5,6,Familia,+++++++++,Matz
40965,NYN/NYN201804140,"Saturday, Apr 14",2018-04-14,1,Night,13,2:46,-3.0,9,Home,Harvey,MIL,1,11-2,Loss,5,1,Hader,-,Anderson
26035,NYN/NYN201804150,"Sunday, Apr 15",2018-04-15,1,Day,14,3:28,-3.0,9,Home,Albers,MIL,1,12-2,Loss,2,3,,+,Familia
22829,NYN/NYN201804160,"Monday, Apr 16",2018-04-16,1,Night,15,3:25,-3.0,9,Home,Ramos,WSN,1,12-3,Loss,8,6,Madson,-,Cole
22724,NYN/NYN201804170,"Tuesday, Apr 17",2018-04-17,1,Night,16,3:11,-2.0,9,Home,Wheeler,WSN,1,12-4,Loss,5,2,Doolittle,--,Gonzalez
23117,NYN/NYN201804180,"Wednesday, Apr 18",2018-04-18,1,Night,17,2:51,-3.0,9,Home,Madson,WSN,1,13-4,Win,5,11,,+,Ramos
23610,ATL/ATL201804190,"Thursday, Apr 19",2018-04-19,1,Night,18,3:00,-2.0,9,Away,Harvey,ATL,1,13-5,Loss,12,4,,-,Wisler
39016,ATL/ATL201804200,"Friday, Apr 20",2018-04-20,1,Night,19,3:51,-2.0,12,Away,Ravin,ATL,1,14-5,Win,3,5,Familia,+,Gsellman
41396,ATL/ATL201804210,"Saturday, Apr 21",2018-04-21,1,Night,20,3:07,-1.0,9,Away,Familia,ATL,1,14-6,Loss,4,3,,-,Biddle
36237,SLN/SLN201804240,"Tuesday, Apr 24",2018-04-24,1,Night,21,3:28,-1.5,10,Away,Bowman,STL,1,15-6,Win,5,6,Familia,+,Gsellman
38045,SLN/SLN201804250,"Wednesday, Apr 25",2018-04-25,1,Night,22,2:47,-0.5,9,Away,Matz,STL,1,15-7,Loss,9,1,Brebbia,-,Wacha
37762,SLN/SLN201804260,"Thursday, Apr 26",2018-04-26,1,Day,23,4:11,-0.5,13,Away,Sewald,STL,1,15-8,Loss,4,3,,--,Gant
29977,SDN/SDN201804270,"Friday, Apr 27",2018-04-27,1,Night,24,2:40,-0.5,9,Away,Richard,SDP,1,16-8,Win,1,5,,+,deGrom
42778,SDN/SDN201804280,"Saturday, Apr 28",2018-04-28,1,Night,25,2:50,-0.5,9,Away,Vargas,SDP,1,16-9,Loss,12,2,,-,Lucchesi
34639,SDN/SDN201804290,"Sunday, Apr 29",2018-04-29,1,Day,26,3:29,-1.5,9,Away,Mitchell,SDP,1,17-9,Win,2,14,,+,Wheeler
