boxscore_index,date,datetime,day,extra_points_attempted,extra_points_made,field_goals_attempted,field_goals_made,fourth_down_attempts,fourth_down_conversions,interceptions,location,opponent_abbr,opponent_name,overtime,pass_attempts,pass_completion_rate,pass_completions,pass_touchdowns,pass_yards,pass_yards_per_attempt,points_allowed,points_scored,punt_yards,punts,quarterback_rating,result,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,third_down_attempts,third_down_conversions,time_of_possession,times_sacked,type,week,yards_lost_from_sacks
201909080nwe,September 8,2019-09-08,Sun,0,0,1,1,3,1,1,Away,NWE,New England Patriots,False,47,57.4,27,0,276,5.9,33,3,228,5,65.6,Loss,13,0,32,2.5,12,3,27:27,1,Reg,1,0
201909150pit,September 15,2019-09-15,Sun,2,2,2,2,0,0,1,Home,SEA,Seattle Seahawks,False,34,58.8,20,2,180,5.5,28,26,224,5,80.5,Loss,16,1,81,5.1,11,3,24:14,1,Reg,2,7
201909220sfo,September 22,2019-09-22,Sun,2,2,2,2,1,0,1,Away,SFO,San Francisco 49ers,False,27,51.9,14,2,160,6.4,24,20,314,6,79.2,Loss,22,0,79,3.6,12,3,23:43,2,Reg,3,14
201909300pit,September 30,2019-09-30,Mon,3,3,2,2,1,0,0,Home,CIN,Cincinnati Bengals,False,31,87.1,27,2,260,8.4,3,27,99,2,123.1,Win,25,1,66,2.6,9,3,29:46,0,Reg,4,0
201910060pit,October 6,2019-10-06,Sun,2,2,3,3,0,0,1,Home,RAV,Baltimore Ravens,True,31,67.7,21,1,192,6.5,26,23,175,4,81.7,Loss,19,1,77,4.1,9,3,25:34,1,Reg,5,11
201910130sdg,October 13,2019-10-13,Sun,3,3,1,1,0,0,1,Away,SDG,Los Angeles Chargers,False,20,75.0,15,1,132,6.6,17,24,185,4,87.9,Win,36,1,124,3.4,13,8,34:05,0,Reg,6,0
201910280pit,October 28,2019-10-28,Mon,3,3,3,2,1,0,1,Home,MIA,Miami Dolphins,False,36,55.6,20,2,236,7.0,14,27,140,3,82.6,Win,29,1,158,5.4,13,6,35:18,2,Reg,8,15
201911030pit,November 3,2019-11-03,Sun,2,2,4,4,1,0,1,Home,CLT,Indianapolis Colts,False,35,74.3,26,1,183,5.5,24,26,48,1,83.4,Win,25,0,90,3.6,13,5,29:28,1,Reg,9,8
201911100pit,November 10,2019-11-10,Sun,2,2,1,1,1,1,0,Home,RAM,Los Angeles Rams,False,38,57.9,22,1,231,6.4,12,17,383,9,84.4,Win,27,0,42,1.6,16,5,31:40,3,Reg,10,11
201911140cle,November 14,2019-11-14,Thu,1,1,1,0,3,0,4,Away,CLE,Cleveland Browns,False,44,52.3,23,1,178,5.0,21,7,248,5,32.2,Loss,16,0,58,3.6,11,2,26:02,4,Reg,11,43
201911240cin,November 24,2019-11-24,Sun,1,1,3,3,0,0,1,Away,CIN,Cincinnati Bengals,False,27,48.1,13,1,179,7.5,10,16,317,7,66.7,Win,38,0,159,4.2,16,5,34:40,3,Reg,12,24
201912010pit,December 1,2019-12-01,Sun,2,2,2,2,0,0,1,Home,CLE,Cleveland Browns,False,21,66.7,14,1,199,10.1,13,20,173,4,93.2,Win,32,1,124,3.9,10,4,27:54,1,Reg,13,13
201912080crd,December 8,2019-12-08,Sun,2,2,3,3,1,0,0,Away,CRD,Arizona Cardinals,False,19,84.2,16,1,135,8.0,17,23,96,2,113.8,Win,35,0,140,4.0,11,4,31:54,3,Reg,14,17
201912150pit,December 15,2019-12-15,Sun,1,1,1,1,1,0,4,Home,BUF,Buffalo Bills,False,38,60.5,23,1,178,5.3,17,10,215,5,41.2,Loss,14,0,51,3.6,13,5,27:40,4,Reg,15,24
201912220nyj,December 22,2019-12-22,Sun,1,1,1,1,1,0,2,Away,NYJ,New York Jets,False,37,67.6,25,1,185,5.8,16,10,279,7,65.7,Loss,25,0,75,3.0,14,3,31:32,4,Reg,16,28
201912290rav,December 29,2019-12-29,Sun,1,1,1,1,1,0,0,Away,RAV,Baltimore Ravens,False,25,36.0,9,0,77,3.8,28,10,244,5,44.9,Loss,23,1,91,4.0,12,5,20:33,2,Reg,17,18
