abbreviation,defensive_simple_rating_system,first_downs,first_downs_from_penalties,fumbles,games_played,interceptions,losses,margin_of_victory,name,offensive_simple_rating_system,pass_attempts,pass_completions,pass_first_downs,pass_net_yards_per_attempt,pass_touchdowns,pass_yards,penalties,percent_drives_with_points,percent_drives_with_turnovers,plays,points_against,points_contributed_by_offense,points_difference,points_for,post_season_result,rank,rush_attempts,rush_first_downs,rush_touchdowns,rush_yards,rush_yards_per_attempt,simple_rating_system,strength_of_schedule,turnovers,win_percentage,wins,yards,yards_from_penalties,yards_per_play
NWE,0.5,444,37,7,16,9,4,14.1,New England Patriots,12.2,641,402,256,7.0,34,4662,97,48.1,8.1,1191,331,118.97,226,557,Lost Conference Championship,1,523,151,25,2184,4.2,12.8,-1.4,16,0.75,12,6846,840,5.7
DEN,3.8,380,36,14,16,11,3,12.0,Denver Broncos,6.3,588,402,232,7.4,37,4534,100,39.9,12.2,1090,289,54.27,192,481,Lost Divisional,2,481,112,12,1832,3.8,10.1,-1.9,25,0.813,13,6366,805,5.8
NOR,-5.1,352,21,5,16,19,9,0.4,New Orleans Saints,6.5,671,423,267,7.2,43,4997,104,37.4,12.1,1067,454,74.33,7,461,,3,370,64,10,1577,4.3,1.4,1.0,24,0.438,7,6574,911,6.2
WAS,-1.2,341,26,6,16,8,6,3.0,Washington Redskins,4.6,442,291,171,7.2,24,3422,116,39.3,7.7,994,388,-16.5,48,436,Lost WC,4,519,144,22,2709,5.2,3.4,0.4,14,0.625,10,6131,985,6.2
GNB,2.4,341,43,8,16,8,5,6.1,Green Bay Packers,4.9,558,374,213,6.6,40,4049,103,37.6,8.1,1042,336,25.77,97,433,Lost Divisional,5,433,85,9,1702,3.9,7.3,1.2,16,0.688,11,5751,923,5.5
NYG,2.2,327,37,6,16,15,7,5.3,New York Giants,4.0,539,323,187,6.8,26,3825,72,43.8,11.9,968,344,-14.71,85,429,,6,409,103,18,1862,4.6,6.2,0.9,21,0.563,9,5687,578,5.9
ATL,4.5,343,26,4,16,14,3,7.5,Atlanta Falcons,2.0,615,422,247,7.0,32,4509,55,44.0,10.3,1021,299,-18.12,120,419,Lost Conference Championship,7,378,70,12,1397,3.7,6.4,-1.1,18,0.813,13,5906,415,5.8
HTX,1.7,341,22,4,16,13,4,5.3,Houston Texans,1.8,554,354,205,6.6,22,3830,108,35.6,8.4,1090,331,-20.08,85,416,Lost Divisional,8,508,114,19,2123,4.2,3.5,-1.8,17,0.75,12,5953,873,5.5
SEA,7.7,311,29,8,16,10,5,10.4,Seattle Seahawks,4.5,405,259,153,6.9,27,3031,110,39.4,10.0,974,245,9.07,167,412,Lost Divisional,9,536,129,16,2579,4.8,12.2,1.8,18,0.688,11,5610,890,5.8
RAV,1.0,314,34,5,16,11,6,3.4,Baltimore Ravens,1.9,560,334,182,6.3,22,3739,121,35.8,7.8,1042,344,22.03,54,398,Won Super Bowl,10,444,98,17,1901,4.3,2.9,-0.5,16,0.625,10,5640,1127,5.4
SFO,6.7,322,22,8,16,8,4,7.8,San Francisco 49ers,3.5,436,289,172,6.9,23,3298,109,39.3,7.9,969,273,-15.31,124,397,Lost Super Bowl,11,492,128,17,2491,5.1,10.2,2.5,16,0.719,11,5789,960,6.0
CIN,0.9,292,24,10,16,16,6,4.4,Cincinnati Bengals,1.2,540,335,173,6.1,28,3578,99,35.4,12.8,1016,320,-90.48,71,391,Lost WC,12,430,95,11,1745,4.1,2.1,-2.4,26,0.625,10,5323,857,5.2
TAM,-1.3,301,24,6,16,17,9,-0.3,Tampa Bay Buccaneers,1.3,566,311,188,6.7,27,3983,101,35.2,10.9,1008,394,-32.9,-5,389,,13,416,89,13,1837,4.4,0.0,0.3,23,0.438,7,5820,819,5.8
MIN,1.8,306,30,11,16,12,6,1.9,Minnesota Vikings,1.6,483,300,163,5.3,18,2751,90,37.9,12.6,1001,348,-59.9,31,379,Lost WC,14,486,113,16,2634,5.4,3.4,1.4,23,0.625,10,5385,830,5.4
DAL,-1.2,338,25,10,16,19,8,-1.5,Dallas Cowboys,1.4,658,434,237,6.8,29,4729,117,36.7,15.0,1049,400,-39.11,-24,376,,15,355,76,8,1265,3.6,0.3,1.8,29,0.5,8,5994,853,5.7
CHI,6.0,292,30,8,16,16,6,6.1,Chicago Bears,1.0,485,287,163,5.7,21,2999,102,30.3,11.8,999,277,-115.17,98,375,,16,470,99,11,1970,4.2,6.9,0.8,24,0.625,10,4969,811,5.0
DET,-4.4,382,26,16,16,17,12,-4.1,Detroit Lions,2.1,740,445,272,6.4,22,4927,103,36.0,15.2,1160,437,-59.66,-65,372,,17,391,84,17,1613,4.1,-2.3,1.8,33,0.25,4,6540,944,5.6
CAR,1.3,328,34,10,16,12,9,-0.4,Carolina Panthers,-0.5,490,284,171,7.0,19,3683,98,32.6,10.3,988,363,2.08,-6,357,,18,462,123,21,2088,4.5,0.8,1.2,22,0.438,7,5771,835,5.8
CLT,-2.8,360,42,9,16,18,5,-1.9,Indianapolis Colts,-1.9,628,339,208,6.2,23,4128,94,33.3,13.9,1109,387,-73.11,-30,357,Lost WC,19,440,110,11,1671,3.8,-4.7,-2.8,27,0.688,11,5799,801,5.2
