boxscore_index,date,datetime,game,goals_allowed,goals_scored,location,opponent_abbr,opponent_name,overtime,penalties_in_minutes,power_play_goals,power_play_opportunities,result,short_handed_goals,shots_on_goal,opp_shots_on_goal,opp_penalties_in_minutes,opp_power_play_goals,opp_power_play_opportunities,opp_short_handed_goals,corsi_for,corsi_against,corsi_for_percentage,fenwick_for,fenwick_against,fenwick_for_percentage,faceoff_wins,faceoff_losses,faceoff_win_percentage,offensive_zone_start_percentage,pdo
201810030VAN,2018-10-03,2018-10-03,1,5,2,Away,VAN,Vancouver Canucks,0,7,0,7,Loss,0,35,23,19,0,1,0,58,27,68.2,42,22,65.6,29,18,61.7,65.5,79.6
201810060CGY,2018-10-06,2018-10-06,2,4,7,Home,VAN,Vancouver Canucks,0,12,3,6,Win,1,37,20,12,2,6,1,52,36,59.1,35,25,58.3,24,24,50.0,49.7,104.3
201810090NSH,2018-10-09,2018-10-09,3,0,3,Away,NSH,Nashville Predators,0,8,2,4,Win,0,27,43,8,0,4,0,36,54,40.0,28,42,40.0,21,28,42.9,41.2,105.0
201810110STL,2018-10-11,2018-10-11,4,5,3,Away,STL,St. Louis Blues,0,14,0,4,Loss,0,34,32,10,2,6,0,47,36,56.6,36,26,58.1,25,18,58.1,50.0,97.7
201810130COL,2018-10-13,2018-10-13,5,2,3,Away,COL,Colorado Avalanche,1,8,0,4,Win,0,41,26,10,0,3,0,58,33,63.7,42,27,60.9,25,19,56.8,58.6,101.2
201810170CGY,2018-10-17,2018-10-17,6,2,5,Home,BOS,Boston Bruins,0,8,0,4,Win,0,29,26,8,0,4,0,50,47,51.5,32,35,47.8,20,18,52.6,54.2,110.9
201810190CGY,2018-10-19,2018-10-19,7,5,3,Home,NSH,Nashville Predators,0,6,1,2,Loss,0,27,31,4,1,3,0,55,45,55.0,36,35,50.7,28,30,48.3,45.5,93.3
201810210NYR,2018-10-21,2018-10-21,8,1,4,Away,NYR,New York Rangers,0,6,0,2,Win,0,26,45,6,1,2,0,48,72,40.0,32,53,37.6,28,17,62.2,38.7,116.7
201810230MTL,2018-10-23,2018-10-23,9,3,2,Away,MTL,Montreal Canadiens,0,10,0,5,Loss,0,23,40,10,2,5,0,41,43,48.8,25,32,43.9,21,18,53.8,52.6,107.5
201810250CGY,2018-10-25,2018-10-25,10,9,1,Home,PIT,Pittsburgh Penguins,0,4,0,3,Loss,0,39,36,6,2,2,0,67,48,58.3,46,37,55.4,35,23,60.3,73.3,80.4
201810270CGY,2018-10-27,2018-10-27,11,4,3,Home,WSH,Washington Capitals,-1,6,1,4,OTL,0,30,27,8,1,3,0,47,49,49.0,36,37,49.3,28,25,52.8,71.2,99.4
201810290TOR,2018-10-29,2018-10-29,12,1,3,Away,TOR,Toronto Maple Leafs,0,8,1,3,Win,0,34,25,8,1,3,0,49,49,50.0,39,37,51.3,25,30,45.5,61.1,107.1
