boxscore_index,date,datetime,game,goals_allowed,goals_scored,location,opponent_abbr,opponent_name,overtime,penalties_in_minutes,power_play_goals,power_play_opportunities,result,short_handed_goals,shots_on_goal,opp_shots_on_goal,opp_penalties_in_minutes,opp_power_play_goals,opp_power_play_opportunities,opp_short_handed_goals,corsi_for,corsi_against,corsi_for_percentage,fenwick_for,fenwick_against,fenwick_for_percentage,faceoff_wins,faceoff_losses,faceoff_win_percentage,offensive_zone_start_percentage,pdo
201810040COL,2018-10-04,2018-10-04,1,1,4,Home,MIN,Minnesota Wild,0,10,1,3,Win,0,40,21,10,0,3,0,51,34,60.0,41,21,66.1,18,27,40.0,69.5,102.3
201810060COL,2018-10-06,2018-10-06,2,2,5,Home,PHI,Philadelphia Flyers,0,10,1,4,Win,0,35,37,12,0,3,0,51,52,49.5,33,39,45.8,24,23,51.1,55.1,108.1
201810090CBJ,2018-10-09,2018-10-09,3,5,2,Away,CBJ,Columbus Blue Jackets,0,12,1,4,Loss,0,27,35,8,1,6,0,33,41,44.6,23,34,40.4,20,25,44.4,46.4,89.9
201810110BUF,2018-10-11,2018-10-11,4,1,6,Away,BUF,Buffalo Sabres,0,14,2,4,Win,0,30,31,8,0,7,0,30,38,44.1,29,32,47.5,16,21,43.2,68.2,113.5
201810130COL,2018-10-13,2018-10-13,5,3,2,Home,CGY,Calgary Flames,1,10,0,3,OTL,0,26,41,8,0,4,0,33,58,36.3,27,42,39.1,19,25,43.2,41.4,98.8
201810160NYR,2018-10-16,2018-10-16,6,3,2,Away,NYR,New York Rangers,-1,17,1,3,OTL,0,33,43,11,1,6,0,54,57,48.6,39,36,52.0,19,27,41.3,39.1,100.3
201810180NJD,2018-10-18,2018-10-18,7,3,5,Away,NJD,New Jersey Devils,0,15,1,6,Win,0,34,30,19,2,5,0,39,31,55.7,33,28,54.1,20,29,40.8,46.1,109.4
201810200CAR,2018-10-20,2018-10-20,8,1,3,Away,CAR,Carolina Hurricanes,0,17,1,4,Win,0,22,43,15,0,5,0,30,61,33.0,19,42,31.1,18,29,38.3,29.1,116.7
201810220PHI,2018-10-22,2018-10-22,9,1,4,Away,PHI,Philadelphia Flyers,0,6,1,2,Win,0,33,38,4,0,3,0,39,63,38.2,29,44,39.7,16,27,37.2,50.0,108.7
201810240COL,2018-10-24,2018-10-24,10,1,0,Home,TBL,Tampa Bay Lightning,0,11,0,4,Loss,0,22,24,13,1,3,0,26,38,40.6,21,22,48.8,18,16,52.9,62.5,100.0
201810260COL,2018-10-26,2018-10-26,11,3,6,Home,OTT,Ottawa Senators,0,4,2,3,Win,0,37,24,6,0,2,0,60,38,61.2,44,28,61.1,32,27,54.2,57.1,100.6
201810270MIN,2018-10-27,2018-10-27,12,3,2,Away,MIN,Minnesota Wild,0,10,0,6,Loss,0,32,28,12,1,5,1,46,28,62.2,31,26,54.4,13,23,36.1,66.7,105.0
201811010CGY,2018-11-01,2018-11-01,13,6,5,Away,CGY,Calgary Flames,0,24,1,2,Loss,1,26,37,21,1,4,0,36,64,36.0,31,51,37.8,24,26,48.0,48.8,96.9
201811020VAN,2018-11-02,2018-11-02,14,7,6,Away,VAN,Vancouver Canucks,1,8,1,2,OTL,0,29,37,4,2,4,0,47,53,47.0,35,36,49.3,25,35,41.7,48.6,103.0
201811070COL,2018-11-07,2018-11-07,15,4,1,Home,NSH,Nashville Predators,0,6,1,3,Loss,0,25,34,6,1,3,0,44,52,45.8,27,40,40.3,29,34,46.0,58.3,90.0
201811090WPG,2018-11-09,2018-11-09,16,5,2,Away,WPG,Winnipeg Jets,0,8,0,4,Loss,0,30,24,8,2,4,0,39,43,47.6,32,30,51.6,20,23,46.5,56.5,91.0
201811110EDM,2018-11-11,2018-11-11,17,1,4,Away,EDM,Edmonton Oilers,0,6,1,2,Win,0,28,27,4,0,3,0,28,46,37.8,23,31,42.6,17,18,48.6,64.0,111.0
201811140COL,2018-11-14,2018-11-14,18,3,6,Home,BOS,Boston Bruins,0,8,3,3,Win,0,25,23,8,2,3,0,43,43,50.0,25,27,48.1,24,18,57.1,52.6,110.4
201811160COL,2018-11-16,2018-11-16,19,3,2,Home,WSH,Washington Capitals,1,6,0,2,OTL,0,26,29,4,1,3,0,45,43,51.1,29,30,49.2,32,23,58.2,55.6,99.3
201811180ANA,2018-11-18,2018-11-18,20,3,4,Away,ANA,Anaheim Ducks,1,6,2,2,Win,0,42,33,4,1,3,0,75,48,61.0,52,38,57.8,21,32,39.6,57.7,97.6
201811210LAK,2018-11-21,2018-11-21,21,3,7,Away,LAK,Los Angeles Kings,0,8,3,4,Win,0,34,36,10,0,3,0,42,53,44.2,38,47,44.7,30,30,50.0,48.5,105.1
201811230ARI,2018-11-23,2018-11-23,22,1,5,Away,ARI,Arizona Coyotes,0,6,1,5,Win,2,39,38,10,1,3,0,59,51,53.6,43,39,52.4,25,27,48.1,48.7,107.4
201811240COL,2018-11-24,2018-11-24,23,2,3,Home,DAL,Dallas Stars,0,4,0,4,Win,0,36,29,8,0,2,0,59,39,60.2,43,33,56.6,30,22,57.7,56.5,101.4
201811270NSH,2018-11-27,2018-11-27,24,2,3,Away,NSH,Nashville Predators,0,6,2,2,Win,0,25,38,4,0,3,0,35,62,36.1,24,46,34.3,21,27,43.8,60.7,99.3
201811280COL,2018-11-28,2018-11-28,25,3,6,Home,PIT,Pittsburgh Penguins,0,8,0,1,Win,0,26,25,2,1,4,0,39,50,43.8,30,34,46.9,27,25,51.9,41.8,114.7
201811300COL,2018-11-30,2018-11-30,26,3,2,Home,STL,St. Louis Blues,1,24,1,4,OTL,0,29,37,15,1,3,0,38,54,41.3,27,38,41.5,22,27,44.9,49.4,98.3
201812020DET,2018-12-02,2018-12-02,27,0,2,Away,DET,Detroit Red Wings,0,14,1,1,Win,0,29,24,12,0,2,0,43,40,51.8,34,24,58.6,26,35,42.6,34.9,103.7
201812040PIT,2018-12-04,2018-12-04,28,6,3,Away,PIT,Pittsburgh Penguins,0,8,1,3,Loss,1,45,32,8,1,3,0,69,49,58.5,55,35,61.1,24,30,44.4,59.0,85.8
201812060FLA,2018-12-06,2018-12-06,29,2,5,Away,FLA,Florida Panthers,0,10,0,4,Win,1,37,35,8,1,5,0,49,45,52.1,38,37,50.7,18,23,43.9,52.0,109.5
201812080TBL,2018-12-08,2018-12-08,30,7,1,Away,TBL,Tampa Bay Lightning,0,8,0,2,Loss,0,30,38,6,2,3,0,47,54,46.5,35,44,44.3,26,25,51.0,51.9,88.9
201812110COL,2018-12-11,2018-12-11,31,6,4,Home,EDM,Edmonton Oilers,0,13,1,5,Loss,0,43,26,17,2,3,0,57,35,62.0,44,30,59.5,33,16,67.3,76.3,89.7
201812140STL,2018-12-14,2018-12-14,32,4,3,Away,STL,St. Louis Blues,1,11,1,6,OTL,0,42,28,17,0,3,1,50,46,52.1,40,34,54.1,26,25,51.0,55.9,92.8
201812150COL,2018-12-15,2018-12-15,33,4,6,Home,DAL,Dallas Stars,0,6,3,7,Win,0,37,42,14,1,3,1,37,53,41.1,26,44,37.1,27,36,42.9,40.5,107.6
