boxscore_index,date,datetime,game,goals_allowed,goals_scored,location,opponent_abbr,opponent_name,overtime,penalties_in_minutes,power_play_goals,power_play_opportunities,result,short_handed_goals,shots_on_goal,opp_shots_on_goal,opp_penalties_in_minutes,opp_power_play_goals,opp_power_play_opportunities,opp_short_handed_goals,corsi_for,corsi_against,corsi_for_percentage,fenwick_for,fenwick_against,fenwick_for_percentage,faceoff_wins,faceoff_losses,faceoff_win_percentage,offensive_zone_start_percentage,pdo
201410090PIT,2014-10-09,2014-10-09,1,4,6,Home,ANA,Anaheim Ducks,0,17,1,,Win,1,39,29,13,3,,0,47,34,58.0,38,26,59.4,25,32,43.9,65.6,107.1
201410110TOR,2014-10-11,2014-10-11,2,2,5,Away,TOR,Toronto Maple Leafs,0,17,3,,Win,0,41,25,17,2,,0,55,32,63.2,40,24,62.5,25,23,52.1,45.0,106.7
201410160PIT,2014-10-16,2014-10-16,3,3,2,Home,DAL,Dallas Stars,0,8,2,,Loss,0,29,28,8,1,,0,48,47,50.5,32,33,49.2,29,21,58.0,43.3,92.0
201410180PIT,2014-10-18,2014-10-18,4,1,3,Home,NYI,New York Islanders,0,25,2,,Win,0,38,35,29,0,,0,44,42,51.2,35,29,54.7,22,21,51.2,57.5,99.4
201410220PIT,2014-10-22,2014-10-22,5,5,3,Home,PHI,Philadelphia Flyers,0,11,0,,Loss,0,25,33,11,0,,0,43,40,51.8,34,34,50.0,30,23,56.6,66.1,94.6
201410230DET,2014-10-23,2014-10-23,6,4,3,Away,DET,Detroit Red Wings,1,10,0,,OTL,0,26,31,10,0,,0,32,35,47.8,22,31,41.5,21,26,44.7,43.5,100.0
201410250NSH,2014-10-25,2014-10-25,7,0,3,Away,NSH,Nashville Predators,0,6,2,,Win,0,26,25,6,0,,0,31,42,42.5,24,27,47.1,21,13,61.8,36.4,104.8
201410280PIT,2014-10-28,2014-10-28,8,3,8,Home,NJD,New Jersey Devils,0,6,3,,Win,0,33,19,14,0,,1,30,32,48.4,22,23,48.9,22,16,57.9,60.0,114.6
201410300PIT,2014-10-30,2014-10-30,9,0,3,Home,LAK,Los Angeles Kings,0,12,2,,Win,0,23,36,16,0,,0,28,45,38.4,21,30,41.2,25,24,51.0,43.4,106.3
201411010PIT,2014-11-01,2014-11-01,10,0,5,Home,BUF,Buffalo Sabres,0,8,3,,Win,0,34,18,10,0,,0,52,30,63.4,37,16,69.8,24,23,51.1,59.6,108.0
201411040MIN,2014-11-04,2014-11-04,11,1,4,Away,MIN,Minnesota Wild,0,15,1,,Win,0,22,34,13,0,,1,38,44,46.3,28,31,47.5,21,28,42.9,51.5,116.7
201411060WPG,2014-11-06,2014-11-06,12,3,4,Away,WPG,Winnipeg Jets,-1,55,0,,Win,0,35,37,47,0,,0,52,48,52.0,38,36,51.4,20,22,47.6,46.4,100.5
201411080BUF,2014-11-08,2014-11-08,13,1,6,Away,BUF,Buffalo Sabres,0,13,2,,Win,0,39,21,17,0,,0,43,32,57.3,41,22,65.1,12,22,35.3,43.9,106.7
201411110NYR,2014-11-11,2014-11-11,14,5,0,Away,NYR,New York Rangers,0,8,0,,Loss,0,33,35,6,1,,1,57,39,59.4,40,29,58.0,25,18,58.1,63.4,86.4
201411140TOR,2014-11-14,2014-11-14,15,1,2,Away,TOR,Toronto Maple Leafs,0,14,0,,Win,0,40,31,8,0,,0,69,39,63.9,53,30,63.9,24,23,51.1,69.7,100.3
201411150PIT,2014-11-15,2014-11-15,16,2,3,Home,NYR,New York Rangers,-1,12,0,,Win,0,38,31,8,1,,0,57,37,60.6,43,30,58.9,25,19,56.8,60.4,101.5
201411180MTL,2014-11-18,2014-11-18,17,0,4,Away,MTL,Montreal Canadiens,0,6,1,,Win,0,22,27,2,0,,0,44,52,45.8,28,30,48.3,19,38,33.3,46.5,115.0
201411210PIT,2014-11-21,2014-11-21,18,5,4,Home,NYI,New York Islanders,-1,9,0,,OTL,0,30,35,7,0,,0,56,65,46.3,41,48,46.1,26,26,50.0,48.2,101.2
201411220NYI,2014-11-22,2014-11-22,19,4,1,Away,NYI,New York Islanders,0,31,0,,Loss,0,28,35,19,1,,0,41,62,39.8,30,45,40.0,20,32,38.5,51.0,94.6
201411240BOS,2014-11-24,2014-11-24,20,2,3,Away,BOS,Boston Bruins,1,6,1,,Win,0,33,29,8,0,,0,50,44,53.2,38,37,50.7,20,21,48.8,73.3,98.3
