boxscore_index,date,datetime,game,goals_allowed,goals_scored,location,opponent_abbr,opponent_name,overtime,penalties_in_minutes,power_play_goals,power_play_opportunities,result,short_handed_goals,shots_on_goal,opp_shots_on_goal,opp_penalties_in_minutes,opp_power_play_goals,opp_power_play_opportunities,opp_short_handed_goals,corsi_for,corsi_against,corsi_for_percentage,fenwick_for,fenwick_against,fenwick_for_percentage,faceoff_wins,faceoff_losses,faceoff_win_percentage,offensive_zone_start_percentage,pdo
201410090WSH,2014-10-09,2014-10-09,1,2,1,Home,MTL,Montreal Canadiens,-1,19,0,,OTL,0,30,24,19,0,,0,55,30,64.7,38,20,65.5,27,30,47.4,62.0,98.4
201410110BOS,2014-10-11,2014-10-11,2,0,4,Away,BOS,Boston Bruins,0,15,2,,Win,0,21,29,25,0,,0,26,43,37.7,19,34,35.8,12,21,36.4,41.5,113.3
201410140WSH,2014-10-14,2014-10-14,3,6,5,Home,SJS,San Jose Sharks,-1,6,2,,OTL,0,34,23,8,1,,0,58,40,59.2,38,23,62.3,27,27,50.0,57.7,86.5
201410160WSH,2014-10-16,2014-10-16,4,2,6,Home,NJD,New Jersey Devils,0,6,1,,Win,0,33,28,10,0,,0,35,45,43.8,26,31,45.6,23,26,46.9,58.1,113.6
201410180WSH,2014-10-18,2014-10-18,5,1,2,Home,FLA,Florida Panthers,-1,10,0,,Win,0,28,21,4,1,,0,55,40,57.9,38,30,55.9,33,20,62.3,70.4,103.7
201410220EDM,2014-10-22,2014-10-22,6,3,2,Away,EDM,Edmonton Oilers,0,9,1,,Loss,0,34,20,9,1,,0,60,30,66.7,42,23,64.6,25,24,51.0,42.9,90.8
201410250CGY,2014-10-25,2014-10-25,7,1,3,Away,CGY,Calgary Flames,0,10,1,,Win,0,30,21,30,1,,0,46,39,54.1,36,25,59.0,27,25,51.9,47.8,107.1
201410260VAN,2014-10-26,2014-10-26,8,4,2,Away,VAN,Vancouver Canucks,0,10,0,,Loss,0,22,34,4,2,,0,42,45,48.3,31,36,46.3,24,28,46.2,61.9,103.9
201410290WSH,2014-10-29,2014-10-29,9,4,2,Home,DET,Detroit Red Wings,0,8,1,,Loss,0,27,22,12,1,,0,39,29,57.4,27,20,57.4,14,14,50.0,56.8,85.6
201411010TBL,2014-11-01,2014-11-01,10,4,3,Away,TBL,Tampa Bay Lightning,0,11,1,,Loss,0,38,28,11,0,,0,50,39,56.2,41,30,57.7,22,25,46.8,70.4,88.1
201411020WSH,2014-11-02,2014-11-02,11,6,5,Home,ARI,Arizona Coyotes,0,21,2,,Loss,0,37,30,15,2,,0,51,48,51.5,39,33,54.2,17,29,37.0,54.2,93.3
201411040WSH,2014-11-04,2014-11-04,12,4,3,Home,CGY,Calgary Flames,1,9,1,,OTL,0,34,23,13,0,,0,60,46,56.6,40,31,56.3,36,26,58.1,56.7,88.7
201411070CHI,2014-11-07,2014-11-07,13,2,3,Away,CHI,Chicago Blackhawks,0,6,0,,Win,0,24,40,2,1,,0,27,58,31.8,24,44,35.3,21,33,38.9,37.0,111.7
201411080WSH,2014-11-08,2014-11-08,14,3,4,Home,CAR,Carolina Hurricanes,1,4,1,,Win,0,39,27,6,1,,0,62,51,54.9,42,32,56.8,33,26,55.9,50.8,100.5
201411110WSH,2014-11-11,2014-11-11,15,2,4,Home,CBJ,Columbus Blue Jackets,0,8,1,,Win,0,32,26,10,0,,0,36,50,41.9,27,30,47.4,25,19,56.8,46.4,107.1
201411140WSH,2014-11-14,2014-11-14,16,1,0,Home,NJD,New Jersey Devils,0,8,0,,Loss,0,30,28,10,0,,0,40,41,49.4,30,28,51.7,20,24,45.5,50.9,95.7
201411150STL,2014-11-15,2014-11-15,17,4,1,Away,STL,St. Louis Blues,0,11,0,,Loss,0,25,34,7,0,,0,48,52,48.0,36,43,45.6,26,34,43.3,61.4,91.9
201411180ARI,2014-11-18,2014-11-18,18,1,2,Away,ARI,Arizona Coyotes,1,8,0,,Win,0,24,24,6,0,,0,36,36,50.0,24,25,49.0,20,24,45.5,68.6,105.2
201411200COL,2014-11-20,2014-11-20,19,2,3,Away,COL,Colorado Avalanche,0,2,0,,Win,0,23,29,4,0,,0,48,50,49.0,32,38,45.7,23,22,51.1,57.5,106.7
201411220WSH,2014-11-22,2014-11-22,20,2,1,Home,BUF,Buffalo Sabres,0,7,1,,Loss,0,44,26,7,0,,0,71,40,64.0,52,25,67.5,33,23,58.9,61.0,90.5
201411260NYI,2014-11-26,2014-11-26,21,3,2,Away,NYI,New York Islanders,1,13,2,,OTL,0,27,35,11,2,,0,40,63,38.8,33,45,42.3,31,27,53.4,61.6,96.8
201411280WSH,2014-11-28,2014-11-28,22,2,5,Home,NYI,New York Islanders,0,9,1,,Win,0,27,28,9,0,,0,64,56,53.3,38,40,48.7,31,19,62.0,40.0,109.7
201411290TOR,2014-11-29,2014-11-29,23,6,2,Away,TOR,Toronto Maple Leafs,0,23,1,,Loss,0,37,23,21,3,,0,54,46,54.0,44,32,57.9,20,20,50.0,57.7,86.8
201412020WSH,2014-12-02,2014-12-02,24,4,3,Home,VAN,Vancouver Canucks,0,10,0,,Loss,0,25,32,4,3,,0,67,46,59.3,42,35,54.5,30,25,54.5,55.1,109.2
201412040CAR,2014-12-04,2014-12-04,25,1,2,Away,CAR,Carolina Hurricanes,0,2,0,,Win,0,28,30,6,0,,0,59,63,48.4,35,36,49.3,25,28,47.2,44.4,104.2
201412060NJD,2014-12-06,2014-12-06,26,1,4,Away,NJD,New Jersey Devils,0,8,1,,Win,0,29,34,8,0,,0,37,59,38.5,34,43,44.2,31,31,50.0,37.2,108.1
201412090TBL,2014-12-09,2014-12-09,27,3,5,Away,TBL,Tampa Bay Lightning,0,8,1,,Win,0,35,36,6,0,,0,50,52,49.0,40,44,47.6,23,16,59.0,57.1,104.2
201412110WSH,2014-12-11,2014-12-11,28,3,2,Home,CBJ,Columbus Blue Jackets,1,8,1,,OTL,0,41,23,14,1,,0,45,39,53.6,31,30,50.8,25,17,59.5,40.4,94.8
201412130WSH,2014-12-13,2014-12-13,29,2,4,Home,TBL,Tampa Bay Lightning,0,15,0,,Win,0,28,28,15,0,,0,33,50,39.8,23,36,39.0,24,19,55.8,41.4,112.0
201412160FLA,2014-12-16,2014-12-16,30,2,1,Away,FLA,Florida Panthers,-1,4,1,,OTL,0,24,29,4,0,,0,44,45,49.4,31,38,44.9,21,26,44.7,53.6,96.2
201412180CBJ,2014-12-18,2014-12-18,31,4,5,Away,CBJ,Columbus Blue Jackets,1,27,0,,Win,0,36,26,25,2,,0,49,31,61.3,38,28,57.6,21,27,43.8,43.7,108.3
201412200NJD,2014-12-20,2014-12-20,32,0,4,Away,NJD,New Jersey Devils,0,11,0,,Win,0,21,21,11,0,,0,23,30,43.4,19,27,41.3,20,21,48.8,45.8,128.6
201412220WSH,2014-12-22,2014-12-22,33,1,2,Home,OTT,Ottawa Senators,0,16,1,,Win,0,23,39,18,0,,0,48,50,49.0,32,33,49.2,24,17,58.5,51.6,101.6
201412230NYR,2014-12-23,2014-12-23,34,4,2,Away,NYR,New York Rangers,0,14,1,,Loss,0,32,27,10,2,,0,47,24,66.2,34,18,65.4,20,24,45.5,55.7,89.9
201412270PIT,2014-12-27,2014-12-27,35,0,3,Away,PIT,Pittsburgh Penguins,0,8,0,,Win,0,34,31,10,0,,0,46,39,54.1,36,30,54.5,27,18,60.0,37.7,112.0
201412290NYI,2014-12-29,2014-12-29,36,4,3,Away,NYI,New York Islanders,1,14,0,,OTL,0,26,39,8,2,,1,40,47,46.0,25,38,39.7,21,18,53.8,52.3,110.2
201501010WSH,2015-01-01,2015-01-01,37,2,3,Home,CHI,Chicago Blackhawks,0,14,1,,Win,0,35,35,10,1,,0,52,47,52.5,44,38,53.7,30,33,47.6,48.0,103.0
201501040WSH,2015-01-04,2015-01-04,38,3,4,Home,FLA,Florida Panthers,0,12,1,,Win,0,26,32,6,0,,0,52,41,55.9,35,31,53.0,36,23,61.0,43.7,102.3
201501070TOR,2015-01-07,2015-01-07,39,2,6,Away,TOR,Toronto Maple Leafs,0,6,0,,Win,1,26,33,6,0,,0,44,56,44.0,36,44,45.0,16,33,32.7,58.6,116.7
201501080PHI,2015-01-08,2015-01-08,40,3,2,Away,PHI,Philadelphia Flyers,1,8,1,,OTL,0,28,33,6,1,,0,48,55,46.6,28,36,43.8,26,22,54.2,53.5,95.7
201501100WSH,2015-01-10,2015-01-10,41,1,3,Home,DET,Detroit Red Wings,0,4,1,,Win,0,17,27,4,0,,0,26,65,28.6,18,43,29.5,19,28,40.4,40.0,113.0
201501120WSH,2015-01-12,2015-01-12,42,1,2,Home,COL,Colorado Avalanche,0,6,1,,Win,0,38,32,8,1,,0,67,45,59.8,50,33,60.2,32,23,58.2,46.4,103.3
201501140WSH,2015-01-14,2015-01-14,43,0,1,Home,PHI,Philadelphia Flyers,0,6,0,,Win,0,26,21,4,0,,0,47,45,51.1,34,27,55.7,29,22,56.9,38.8,104.3
201501160NSH,2015-01-16,2015-01-16,44,4,3,Away,NSH,Nashville Predators,0,8,2,,Loss,0,34,30,6,1,,0,54,41,56.8,43,24,64.2,36,23,61.0,58.6,89.3
201501170DAL,2015-01-17,2015-01-17,45,5,4,Away,DAL,Dallas Stars,0,10,0,,Loss,0,32,26,6,1,,0,58,37,61.1,36,27,57.1,37,18,67.3,74.1,93.8
201501200WSH,2015-01-20,2015-01-20,46,5,4,Home,EDM,Edmonton Oilers,-1,12,1,,OTL,0,24,31,4,1,,0,55,41,57.3,34,28,54.8,25,22,53.2,62.0,102.7
201501270CBJ,2015-01-27,2015-01-27,47,4,3,Away,CBJ,Columbus Blue Jackets,0,10,0,,Loss,0,28,30,6,0,,0,39,34,53.4,32,28,53.3,19,21,47.5,63.6,94.6
201501280WSH,2015-01-28,2015-01-28,48,0,4,Home,PIT,Pittsburgh Penguins,0,22,1,,Win,0,36,27,32,0,,0,45,52,46.4,32,32,50.0,34,18,65.4,34.1,113.0
201501310MTL,2015-01-31,2015-01-31,49,1,0,Away,MTL,Montreal Canadiens,1,10,0,,OTL,0,36,30,14,0,,0,52,47,52.5,35,29,54.7,18,17,51.4,50.0,95.0
201502010WSH,2015-02-01,2015-02-01,50,4,3,Home,STL,St. Louis Blues,0,8,1,,Loss,0,36,40,21,1,,0,53,51,51.0,39,40,49.4,24,18,57.1,60.9,97.3
201502030WSH,2015-02-03,2015-02-03,51,0,4,Home,LAK,Los Angeles Kings,0,4,1,,Win,0,27,27,8,0,,0,38,43,46.9,30,34,46.9,20,20,50.0,31.7,117.6
201502050OTT,2015-02-05,2015-02-05,52,1,2,Away,OTT,Ottawa Senators,0,12,0,,Win,0,29,26,6,0,,0,52,35,59.8,35,25,58.3,21,16,56.8,65.4,101.8
201502060WSH,2015-02-06,2015-02-06,53,2,3,Home,ANA,Anaheim Ducks,-1,4,0,,Win,0,34,25,2,1,,0,60,44,57.7,46,28,62.2,31,26,54.4,60.7,101.3
201502080WSH,2015-02-08,2015-02-08,54,3,1,Home,PHI,Philadelphia Flyers,0,9,1,,Loss,0,14,25,19,1,,0,43,43,50.0,27,30,47.4,20,29,40.8,33.3,90.9
201502110SJS,2015-02-11,2015-02-11,55,4,5,Away,SJS,San Jose Sharks,1,7,1,,Win,0,33,30,9,1,,0,51,60,45.9,40,47,46.0,20,25,44.4,42.6,103.9
